Class,Confidence,Bounding Box,Center 3D Coordinates,Corner 1 Coordinates,Corner 2 Coordinates,Corner 3 Coordinates,Corner 4 Coordinates
10ML_centrifuge_tube,0.32109907269477844,"[583.0, 266.0, 599.0, 282.0]","[-90.0, -142.0, 1471.0]","[-107.0, -162.0, 1539.0]","[-80.0, -162.0, 1542.0]","[-103.0, -129.0, 1471.0]","[-76.0, -128.0, 1458.0]"
10ML_sorting_tube_rack,0.29662778973579407,"[1030.0, 623.0, 1185.0, 720.0]","[609.0, 409.0, 1204.0]","[444.0, 303.0, 1054.0]","[1225.0, 594.0, 2070.0]","[494.0, 460.0, 1172.0]","[684.0, 453.0, 1155.0]"
5ML_sorting_tube_rack,0.27087530493736267,"[332.0, 0.0, 554.0, 173.0]","[-376.0, -510.0, 1684.0]","(0, 0)","[-325.0, -1272.0, 3200.0]","[-980.0, -588.0, 2835.0]","[-174.0, -355.0, 1713.0]"
blood_tube,0.270212322473526,"[750.0, 299.0, 764.0, 316.0]","[175.0, -86.0, 1436.0]","[165.0, -100.0, 1450.0]","[186.0, -99.0, 1442.0]","[166.0, -73.0, 1456.0]","[186.0, -72.0, 1436.0]"
dispensing_tube_rack,0.2609076499938965,"[704.0, 499.0, 833.0, 616.0]","[164.0, 263.0, 1227.0]","[87.0, 207.0, 1372.0]","[233.0, 171.0, 1134.0]","[80.0, 355.0, 1271.0]","[259.0, 353.0, 1262.0]"
5ML_centrifuge_tube,0.2581774592399597,"[614.0, 285.0, 629.0, 299.0]","[-40.0, -110.0, 1440.0]","[-52.0, -123.0, 1456.0]","[-28.0, -124.0, 1466.0]","[-51.0, -100.0, 1444.0]","[-28.0, -100.0, 1454.0]"
5ML_sorting_tube_rack,0.8514533042907715,"[572.0, 267.0, 646.0, 389.0]","[-58.0, -52.0, 1412.0]","(0, 0)","[-1.0, -166.0, 1595.0]","[-122.0, 45.0, 1492.0]","[-1.0, 44.0, 1452.0]"
10ML_centrifuge_tube,0.8155121803283691,"[754.0, 560.0, 772.0, 577.0]","[156.0, 276.0, 1217.0]","[144.0, 266.0, 1221.0]","[172.0, 271.0, 1243.0]","[143.0, 287.0, 1212.0]","[169.0, 289.0, 1222.0]"
centrifuge_close,0.7949879765510559,"[837.0, 26.0, 1008.0, 186.0]","[475.0, -441.0, 1568.0]","[672.0, -1184.0, 3210.0]","(0, 0)","[359.0, -331.0, 1713.0]","[491.0, -239.0, 1236.0]"
refrigerator_close,0.7451707720756531,"[646.0, 0.0, 793.0, 168.0]","[126.0, -484.0, 1585.0]","[-0.0, -288.0, 725.0]","[116.0, -287.0, 721.0]","[-1.0, -364.0, 1710.0]","[280.0, -370.0, 1736.0]"
10ML_centrifuge_tube,0.7129644155502319,"[846.0, 484.0, 864.0, 501.0]","[261.0, 163.0, 1137.0]","[250.0, 153.0, 1140.0]","[273.0, 153.0, 1140.0]","[249.0, 174.0, 1134.0]","[271.0, 174.0, 1134.0]"
blood_tube,0.44502705335617065,"[832.0, 528.0, 849.0, 547.0]","[231.0, 210.0, 1088.0]","[228.0, 205.0, 1120.0]","[248.0, 204.0, 1115.0]","[226.0, 225.0, 1107.0]","[244.0, 223.0, 1095.0]"
blood_tube,0.35305148363113403,"[736.0, 518.0, 751.0, 535.0]","[130.0, 222.0, 1228.0]","[123.0, 214.0, 1248.0]","[144.0, 215.0, 1254.0]","[122.0, 235.0, 1236.0]","[141.0, 234.0, 1227.0]"
10ML_sorting_tube_rack,0.3461610674858093,"[253.0, 407.0, 380.0, 579.0]","[-462.0, 183.0, 1271.0]","[-1043.0, 120.0, 2413.0]","[-423.0, 72.0, 1446.0]","(0, 0)","[-377.0, 308.0, 1289.0]"
blood_tube,0.2947295308113098,"[860.0, 653.0, 983.0, 717.0]","[320.0, 376.0, 1059.0]","[288.0, 392.0, 1225.0]","[392.0, 339.0, 1059.0]","[246.0, 410.0, 1050.0]","[419.0, 443.0, 1134.0]"
10ML_sorting_tube_rack,0.2856326401233673,"[302.0, 248.0, 402.0, 410.0]","[-454.0, -50.0, 1402.0]","[-991.0, -327.0, 2617.0]","[-432.0, -201.0, 1610.0]","[-507.0, 71.0, 1339.0]","[-389.0, 77.0, 1448.0]"
5ML_sorting_tube_rack,0.28043311834335327,"[332.0, 0.0, 554.0, 174.0]","[-379.0, -512.0, 1695.0]","(0, 0)","[-356.0, -1394.0, 3507.0]","[-941.0, -562.0, 2722.0]","[-173.0, -352.0, 1704.0]"
5ML_sorting_tube_rack,0.25318068265914917,"[303.0, 247.0, 402.0, 407.0]","[-454.0, -54.0, 1404.0]","[-990.0, -331.0, 2624.0]","[-432.0, -203.0, 1610.0]","(0, 0)","[-389.0, 72.0, 1448.0]"
centrifuge_close,0.8209154009819031,"[839.0, 25.0, 1008.0, 185.0]","[471.0, -438.0, 1551.0]","[661.0, -1155.0, 3121.0]","(0, 0)","[361.0, -332.0, 1707.0]","[492.0, -241.0, 1239.0]"
10ML_centrifuge_tube,0.8047725558280945,"[754.0, 560.0, 772.0, 577.0]","[156.0, 276.0, 1217.0]","[145.0, 267.0, 1224.0]","[173.0, 273.0, 1251.0]","[143.0, 287.0, 1212.0]","[169.0, 290.0, 1225.0]"
refrigerator_close,0.7617787718772888,"[646.0, 0.0, 793.0, 168.0]","[123.0, -472.0, 1546.0]","(0, 0)","[116.0, -286.0, 720.0]","[-1.0, -366.0, 1718.0]","[277.0, -366.0, 1718.0]"
5ML_sorting_tube_rack,0.7554240822792053,"[572.0, 267.0, 645.0, 387.0]","[-60.0, -54.0, 1410.0]","(0, 0)","[-2.0, -166.0, 1590.0]","[-122.0, 41.0, 1492.0]","[-2.0, 40.0, 1458.0]"
10ML_centrifuge_tube,0.7503418326377869,"[846.0, 484.0, 865.0, 501.0]","[260.0, 162.0, 1134.0]","[251.0, 154.0, 1143.0]","[274.0, 153.0, 1142.0]","[249.0, 174.0, 1134.0]","[273.0, 174.0, 1135.0]"
blood_tube,0.42790600657463074,"[831.0, 528.0, 849.0, 547.0]","[231.0, 209.0, 1086.0]","[228.0, 205.0, 1122.0]","[248.0, 204.0, 1114.0]","[226.0, 226.0, 1112.0]","[243.0, 223.0, 1093.0]"
blood_tube,0.3549256920814514,"[736.0, 518.0, 751.0, 535.0]","[131.0, 222.0, 1230.0]","[123.0, 214.0, 1249.0]","[144.0, 215.0, 1254.0]","[122.0, 236.0, 1237.0]","[141.0, 234.0, 1230.0]"
10ML_sorting_tube_rack,0.34351256489753723,"[249.0, 407.0, 381.0, 580.0]","[-462.0, 183.0, 1268.0]","[-1022.0, 116.0, 2341.0]","[-423.0, 72.0, 1450.0]","(0, 0)","[-378.0, 311.0, 1295.0]"
dispensing_tube_rack,0.33626240491867065,"[704.0, 500.0, 818.0, 616.0]","[154.0, 264.0, 1222.0]","[86.0, 208.0, 1366.0]","[224.0, 180.0, 1187.0]","[81.0, 356.0, 1274.0]","[235.0, 348.0, 1246.0]"
10ML_centrifuge_tube,0.2824817895889282,"[583.0, 266.0, 599.0, 282.0]","[-89.0, -142.0, 1469.0]","[-107.0, -161.0, 1530.0]","[-80.0, -161.0, 1530.0]","[-103.0, -129.0, 1473.0]","[-76.0, -127.0, 1454.0]"
5ML_sorting_tube_rack,0.2721417546272278,"[332.0, 0.0, 554.0, 173.0]","[-374.0, -506.0, 1671.0]","(0, 0)","[-317.0, -1241.0, 3121.0]","[-974.0, -585.0, 2820.0]","[-174.0, -355.0, 1713.0]"
5ML_sorting_tube_rack,0.8613908290863037,"[572.0, 267.0, 646.0, 389.0]","[-58.0, -52.0, 1416.0]","(0, 0)","[-1.0, -166.0, 1595.0]","[-123.0, 45.0, 1499.0]","[-1.0, 44.0, 1452.0]"
centrifuge_close,0.8429102301597595,"[839.0, 25.0, 1008.0, 185.0]","[469.0, -435.0, 1542.0]","[688.0, -1203.0, 3251.0]","(0, 0)","[363.0, -333.0, 1713.0]","[489.0, -239.0, 1231.0]"
10ML_centrifuge_tube,0.8076328635215759,"[754.0, 560.0, 772.0, 577.0]","[156.0, 275.0, 1215.0]","[144.0, 266.0, 1222.0]","[172.0, 271.0, 1245.0]","[143.0, 287.0, 1212.0]","[169.0, 290.0, 1224.0]"
10ML_centrifuge_tube,0.7686577439308167,"[846.0, 484.0, 864.0, 501.0]","[260.0, 162.0, 1133.0]","[250.0, 153.0, 1139.0]","[273.0, 153.0, 1140.0]","[249.0, 174.0, 1134.0]","[271.0, 174.0, 1134.0]"
refrigerator_close,0.7510380744934082,"[647.0, 2.0, 793.0, 168.0]","[126.0, -473.0, 1556.0]","(0, 0)","[116.0, -286.0, 723.0]","[1.0, -367.0, 1724.0]","[279.0, -369.0, 1733.0]"
blood_tube,0.46251359581947327,"[832.0, 528.0, 849.0, 547.0]","[231.0, 210.0, 1088.0]","[228.0, 205.0, 1120.0]","[248.0, 203.0, 1112.0]","[225.0, 225.0, 1105.0]","[244.0, 223.0, 1096.0]"
10ML_sorting_tube_rack,0.4321137070655823,"[303.0, 248.0, 402.0, 411.0]","[-453.0, -50.0, 1400.0]","[-963.0, -319.0, 2552.0]","[-435.0, -202.0, 1620.0]","[-507.0, 73.0, 1343.0]","[-387.0, 78.0, 1442.0]"
10ML_sorting_tube_rack,0.402850866317749,"[253.0, 407.0, 380.0, 577.0]","[-462.0, 182.0, 1273.0]","[-1036.0, 119.0, 2396.0]","[-423.0, 72.0, 1446.0]","(0, 0)","[-383.0, 309.0, 1307.0]"
