Class,Confidence,Center 3D Coordinates
tube_rack_storage_cabinet,0.4228241443634033,"[-374.0, 51.0, 640.0]"
10ML_sorting_tube_rack,0.4205958843231201,"[-222.0, -84.0, 1274.0]"
10ML_centrifuge_tube,0.3967417776584625,"[-582.0, -98.0, 1332.0]"
5ML_centrifuge_tube,0.3081735670566559,"[221.0, 283.0, 922.0]"
centrifuge_close,0.2516913414001465,"[-336.0, -57.0, 576.0]"
refrigerator_close,0.9557819962501526,"[23.0, -442.0, 1573.0]"
centrifuge_close,0.912041962146759,"[318.0, -217.0, 1260.0]"
blood_tube,0.8356585502624512,"[233.0, 196.0, 1042.0]"
dispensing_tube_rack,0.7637731432914734,"[-149.0, 93.0, 1137.0]"
10ML_centrifuge_tube,0.6671769022941589,"[-498.0, -191.0, 1402.0]"
10ML_centrifuge_tube,0.6126697659492493,"[-43.0, 57.0, 1053.0]"
blood_tube,0.5967193841934204,"[92.0, 119.0, 1134.0]"
10ML_centrifuge_tube,0.5097898840904236,"[-582.0, -99.0, 1332.0]"
10ML_centrifuge_tube,0.44424545764923096,"[95.0, 254.0, 967.0]"
tube_rack_storage_cabinet,0.43522053956985474,"[-376.0, 51.0, 643.0]"
dispensing_tube_rack,0.429403692483902,"[-72.0, 112.0, 1044.0]"
10ML_sorting_tube_rack,0.3673478364944458,"[-224.0, -84.0, 1281.0]"
centrifuge_close,0.3059490919113159,"[-335.0, -57.0, 573.0]"
refrigerator_close,0.9537267684936523,"[23.0, -425.0, 1512.0]"
centrifuge_close,0.9069908857345581,"[315.0, -216.0, 1248.0]"
blood_tube,0.8281098008155823,"[234.0, 197.0, 1045.0]"
10ML_centrifuge_tube,0.7125757336616516,"[-498.0, -191.0, 1402.0]"
dispensing_tube_rack,0.6824127435684204,"[-149.0, 93.0, 1138.0]"
10ML_centrifuge_tube,0.6023617386817932,"[-43.0, 58.0, 1051.0]"
blood_tube,0.5569305419921875,"[92.0, 119.0, 1132.0]"
10ML_centrifuge_tube,0.5178475975990295,"[-582.0, -98.0, 1336.0]"
10ML_centrifuge_tube,0.42628636956214905,"[96.0, 254.0, 961.0]"
5ML_sorting_tube_rack,0.42244648933410645,"[-457.0, -465.0, 1757.0]"
dispensing_tube_rack,0.375358909368515,"[-68.0, 111.0, 1039.0]"
tube_rack_storage_cabinet,0.3543158769607544,"[-376.0, 51.0, 643.0]"
5ML_centrifuge_tube,0.340116947889328,"[223.0, 284.0, 927.0]"
refrigerator_close,0.9544013142585754,"[23.0, -429.0, 1528.0]"
centrifuge_close,0.9142451882362366,"[318.0, -217.0, 1262.0]"
blood_tube,0.8441200852394104,"[233.0, 196.0, 1040.0]"
dispensing_tube_rack,0.7100443243980408,"[-151.0, 93.0, 1142.0]"
10ML_centrifuge_tube,0.707313060760498,"[-492.0, -188.0, 1385.0]"
10ML_centrifuge_tube,0.6376081109046936,"[-43.0, 57.0, 1049.0]"
blood_tube,0.5951164364814758,"[91.0, 119.0, 1128.0]"
dispensing_tube_rack,0.48413023352622986,"[-69.0, 111.0, 1034.0]"
tube_rack_storage_cabinet,0.47422656416893005,"[-373.0, 50.0, 638.0]"
10ML_centrifuge_tube,0.41980335116386414,"[-579.0, -99.0, 1326.0]"
10ML_centrifuge_tube,0.3631191551685333,"[95.0, 254.0, 962.0]"
10ML_sorting_tube_rack,0.349160760641098,"[-225.0, -83.0, 1292.0]"
5ML_centrifuge_tube,0.25754526257514954,"[222.0, 284.0, 925.0]"
refrigerator_close,0.9574738144874573,"[22.0, -422.0, 1501.0]"
centrifuge_close,0.9147259593009949,"[318.0, -217.0, 1260.0]"
blood_tube,0.8253968358039856,"[232.0, 195.0, 1036.0]"
